PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description length,No. of meta descriptions,Is indexable page
40,https://leeroyjenkins.quest/,Leeroy Jenkins,text/html; charset=utf-8,false,200,0,0,"Leeroy Jenkins — tools, guides, studies, and resources.",55,1,true
21,https://leeroyjenkins.quest/esports-terms,Esports Terms,text/html; charset=utf-8,false,200,0,0,"Esports terms: bracket, bo3, group stage, LAN, bootcamp, franchise.",67,1,true
21,https://leeroyjenkins.quest/streaming-terms-glossary,Streaming Terms Glossary,text/html; charset=utf-8,false,200,0,0,"Streaming terms: bitrate, OBS, VOD, sub, raid, emotes, alerts.",62,1,true
21,https://leeroyjenkins.quest/fps-terms-glossary,FPS Terms Glossary,text/html; charset=utf-8,false,200,0,0,"Essential FPS terms explained: peeker's advantage, spray pattern, crosshair placement, rotation.",96,1,true
21,https://leeroyjenkins.quest/best-wireless-gaming-mouse,Best Wireless Gaming Mice,text/html; charset=utf-8,false,200,0,0,"Best wireless gaming mice — latency, battery, weight comparison.",64,1,true
21,https://leeroyjenkins.quest/best-fps-mouse,Best FPS Mice,text/html; charset=utf-8,false,200,0,0,"Top lightweight gaming mice for FPS games. Featuring Razer Viper, Logitech Superlight, and more.",96,1,true
21,https://leeroyjenkins.quest/mouse-pad-guide,Gaming Mouse Pad Guide,text/html; charset=utf-8,false,200,0,0,"Gaming mouse pads explained: cloth vs hard, speed vs control, and how to choose the right size.",95,1,true
21,https://leeroyjenkins.quest/gaming-mouse-sensor-guide,Gaming Mouse Sensor Guide,text/html; charset=utf-8,false,200,0,0,"Mouse sensors explained: optical vs laser, DPI, polling rate, LOD.",66,1,true
21,https://leeroyjenkins.quest/network-gaming-terms,Network Gaming Terms,text/html; charset=utf-8,false,200,0,0,"Network terms: ping, jitter, packet loss, tick rate, netcode, rollback.",71,1,true
21,https://leeroyjenkins.quest/pc-hardware-terms,PC Hardware Terms,text/html; charset=utf-8,false,200,0,0,"PC hardware terms: GPU, CPU, RAM, SSD, bottleneck, thermal throttle.",68,1,true
21,https://leeroyjenkins.quest/moba-terms-glossary,MOBA Terms Glossary,text/html; charset=utf-8,false,200,0,0,"MOBA terms: lane, gank, CS, itemization, objective control, draft.",66,1,true
21,https://leeroyjenkins.quest/competitive-gaming-terms,Competitive Gaming Terms,text/html; charset=utf-8,false,200,0,0,"Competitive terms: ELO, MMR, smurfing, meta, tier list, scrim.",62,1,true
20,https://leeroyjenkins.quest/game-design-terms,Game Design Terms,text/html; charset=utf-8,false,200,0,0,"Game design terms: RNG, proc-gen, roguelike, metroidvania, souls-like.",70,1,true
20,https://leeroyjenkins.quest/crosshair-generator,Crosshair Generator | Leeroy Jenkins,text/html; charset=utf-8,false,200,0,0,"Design and preview custom crosshairs. Adjust shape, color, size, and gap. Export settings easily.",97,1,true
